,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
Queens Plaza North & Crescent St,Queens Plaza North & Crescent St,Queens Plaza North,Crescent St,Crescent St,N.A.,40.75110165000297,-73.94073716999873,-1.7873075714735478,-1.763141426783477,cat-2,Queens,3.030936,-9.464106
Amsterdam Ave & W 79 St,Amsterdam Ave & W 79 St,Amsterdam Ave,W 79 St,W 79 St,Amsterdam Ave,40.78293909999846,-73.97865169999606,1.80202083991162,2.233737244898066,cat-9,Upper West Side,2.970306,-9.825251
Broadway & W 36 St,Broadway & W 36 St,Broadway,W 36 St,W 36 St,N.A.,40.75097711000107,-73.98765428000314,-0.21808851828086517,0.2868421052630765,cat-12,Midtown,4.171742,-11.818034
E 5 St & Avenue C,E 5 St & Avenue C,E 5 St,Avenue C,E 5 St,N.A.,40.72299208000114,-73.97995465999753,-3.073625654450325,-2.601948503827316,cat-8,Lower Manhattan,-2.423471,-1.7152612
Bedford Ave & Nassau Ave,Bedford Ave & Nassau Ave,Bedford Ave,Nassau Ave,N.A.,Bedford Ave,40.723116509997844,-73.95212323999412,-3.0429649065267768,-3.8761254268861194,cat-4,North Brooklyn,3.7032802,-11.499097
Lexington Ave & E 36 St,Lexington Ave & E 36 St,Lexington Ave,E 36 St,E 36 St,Lexington Ave,40.747573958956444,-73.97880077362059,-1.758813838550168,-0.9904511030622416,cat-12,Midtown,-15.750638,5.8781753
E 72 St & York Ave,E 72 St & York Ave,E 72 St,York Ave,E 72 St,York Ave,40.766638140001845,-73.95348296000144,1.5360211500330934,1.4562687063519206,cat-11,Upper East Side,-13.898627,6.0270596
E 58 St &  1 Ave (NW Corner),E 58 St &  1 Ave (NW Corner),E 58 St, 1 Ave (NW Corner),E 58 St, 1 Ave (NW Corner),40.759124999997795,-73.96265800000238,-0.5063715627095462,-0.003900709219806231,cat-11,Upper East Side,-15.371489,5.8134975
Central Park West & W 100 St,Central Park West & W 100 St,Central Park West,W 100 St,W 100 St,N.A.,40.794066608185,-73.96286845207214,2.2342007434945117,1.5639677532421956,cat-9,Upper West Side,3.6658714,-10.059887
Leonard St & Church St,Leonard St & Church St,Leonard St,Church St,Leonard St,N.A.,40.71757100000085,-74.00554899999614,-0.4318644067795958,-0.6343866802583307,cat-8,Lower Manhattan,3.7734568,-5.700689
W 76 St & Columbus Ave,W 76 St & Columbus Ave,W 76 St,Columbus Ave,W 76 St,Columbus Ave,40.78018397242609,-73.97728532552719,1.526834239130494,1.8735194585449335,cat-9,Upper West Side,3.9038317,-9.144136
E 74 St & 1 Ave,E 74 St & 1 Ave,E 74 St,1 Ave,E 74 St,1 Ave,40.768973800001405,-73.95482273000282,-0.8144858216603552,-0.9337883959044575,cat-11,Upper East Side,-5.8773737,-0.7572964
Lawrence St & Willoughby St,Lawrence St & Willoughby St,Lawrence St,Willoughby St,Lawrence St,N.A.,40.692361780001974,-73.98631745999691,-1.7137482900136547,-1.8224202948233597,cat-7,Central Brooklyn,4.4922185,-10.226819
Fulton St & William St,Fulton St & William St,Fulton St,William St,Fulton St,N.A.,40.70955958000182,-74.00653608999696,-1.1192189105859143,-1.8273257809817096,cat-8,Lower Manhattan,4.681265,-8.469685
Court St & State St,Court St & State St,Court St,State St,Court St,N.A.,40.69023750000251,-73.99203073999635,0.7635366689512466,1.6648612051455984,cat-5,South Brooklyn,4.1755404,5.964289
Greenpoint Ave & Manhattan Ave,Greenpoint Ave & Manhattan Ave,Greenpoint Ave,Manhattan Ave,N.A.,Greenpoint Ave,40.73025999999763,-73.95394000000451,-3.492096219931227,-3.1876721763085243,cat-4,North Brooklyn,1.9547949,6.180148
Spruce St & Nassau St,Spruce St & Nassau St,Spruce St,Nassau St,Spruce St,N.A.,40.7114636399969,-74.005524270002,1.017229496898608,0.5064347826087214,cat-8,Lower Manhattan,1.8629489,5.9652476
2 Ave & E 72 St,2 Ave & E 72 St,2 Ave,E 72 St,E 72 St,2 Ave,40.76876202931126,-73.95840793848038,-0.33368237347303875,-0.04108635097486513,cat-11,Upper East Side,2.7127292,5.651633
Pike St & Monroe St,Pike St & Monroe St,Pike St,Monroe St,Pike St,N.A.,40.71173106999855,-73.99193042999846,-2.536500174642015,-2.4193548387097508,cat-8,Lower Manhattan,5.088059,4.435063
Park Ave & E 124 St,Park Ave & E 124 St,Park Ave,E 124 St,E 124 St,Park Ave,40.80455549999917,-73.93968609999878,0.43437171858590773,-0.4009712105446397,cat-10,Harlem,10.47037,-7.3552256
Atlantic Ave & Furman St,Atlantic Ave & Furman St,Atlantic Ave,Furman St,Furman St,Atlantic Ave,40.69165182999884,-73.99997860000315,0.5173867228661493,-0.011422637590840168,cat-5,South Brooklyn,6.472319,-5.8556533
5 Ave & E 103 St,5 Ave & E 103 St,5 Ave,E 103 St,E 103 St,5 Ave,40.79225529999859,-73.95249932999465,0.5677101653184309,-0.25286956521745196,cat-9,Upper West Side,7.610474,-4.868337
W 50 St & 9 Ave,W 50 St & 9 Ave,W 50 St,9 Ave,W 50 St,9 Ave,40.763604677955776,-73.98917958140373,-1.031084422465483,-1.5973248856037117,cat-12,Midtown,5.788489,-5.8296947
Vernon Blvd & 50 Ave,Vernon Blvd & 50 Ave,Vernon Blvd,50 Ave,N.A.,50 Ave,40.742327440002256,-73.95411749000091,-1.7732250088308774,-1.9307069996482369,cat-2,Queens,6.5232787,-4.8911557
5 Ave & E 63 St,5 Ave & E 63 St,5 Ave,E 63 St,E 63 St,5 Ave,40.76636799999786,-73.9715180000036,0.9053003533567789,1.533684606699353,cat-9,Upper West Side,6.12869,-4.8776402
Catherine St & Monroe St,Catherine St & Monroe St,Catherine St,Monroe St,Catherine St,N.A.,40.711174440001805,-73.99682619000443,0.40078097266587065,0.5469522240528022,cat-8,Lower Manhattan,7.1685,-9.350854
Centre St & Worth St,Centre St & Worth St,Centre St,Worth St,Centre St,N.A.,40.71494807000187,-74.0023448200012,1.443214285714248,2.094332855093171,cat-8,Lower Manhattan,9.491521,-6.56807
Cadman Plaza E & Red Cross Pl,Cadman Plaza E & Red Cross Pl,Cadman Plaza E,Red Cross Pl,N.A.,N.A.,40.69991754999838,-73.9897177300008,0.1663672296083405,0.9016333938293428,cat-5,South Brooklyn,6.409254,-8.629011
Franklin St & W Broadway,Franklin St & W Broadway,Franklin St,W Broadway,Franklin St,N.A.,40.71911551999881,-74.00666660999704,0.32877697841718145,1.1879726323370505,cat-8,Lower Manhattan,6.0229335,-8.430112
W 84 St & Columbus Ave,W 84 St & Columbus Ave,W 84 St,Columbus Ave,W 84 St,Columbus Ave,40.78499979000144,-73.97283405999815,1.4857862540482074,2.1441476826394137,cat-9,Upper West Side,5.2771378,-9.239149
Cherry St,Cherry St,Cherry St,Cherry St,Cherry St,N.A.,40.71219905999917,-73.97948147999759,1.8050450450450626,1.390507011866248,cat-8,Lower Manhattan,4.8423305,-1.1758868
Pearl St & Hanover Square,Pearl St & Hanover Square,Pearl St,Hanover Square,Pearl St,N.A.,40.70471770000186,-74.00926026999674,-1.418148820326678,-1.2240325865579962,cat-8,Lower Manhattan,5.9216213,-0.10090918
Schermerhorn St & Bond St,Schermerhorn St & Bond St,Schermerhorn St,Bond St,Schermerhorn St,N.A.,40.6884174275432,-73.98451656103134,-2.1868411486732384,-1.2547406082289854,cat-5,South Brooklyn,5.284426,4.9270725
Avenue D & E 3 St,Avenue D & E 3 St,Avenue D,E 3 St,E 3 St,N.A.,40.72082833999915,-73.97793172000081,-0.9949016751638737,0.49707388441834155,cat-8,Lower Manhattan,5.0005884,-2.0259347
W 84 St & Broadway,W 84 St & Broadway,W 84 St,Broadway,W 84 St,N.A.,40.786794700001565,-73.97711199999553,2.1257288629738014,2.570431211498999,cat-9,Upper West Side,4.992576,-2.4202318
Maiden Ln & Pearl St,Maiden Ln & Pearl St,Maiden Ln,Pearl St,Pearl St,N.A.,40.70706456000229,-74.007318529999,-2.7592524734334347,-2.6248693834900223,cat-8,Lower Manhattan,-2.3124318,-1.1195002
2 Ave & E 96 St,2 Ave & E 96 St,2 Ave,E 96 St,E 96 St,2 Ave,40.783963599999176,-73.94716730000088,-1.8335777126098947,-2.9001406469760695,cat-10,Harlem,3.7568402,-4.839976
William St & Pine St,William St & Pine St,William St,Pine St,William St,N.A.,40.70717936000108,-74.0088730799983,-1.958088235294099,-1.4076183695265172,cat-8,Lower Manhattan,5.996737,-8.897903
Clark St & Henry St,Clark St & Henry St,Clark St,Henry St,Clark St,N.A.,40.697601270002295,-73.99344558999529,1.7702503681884991,2.746531683539615,cat-5,South Brooklyn,6.9833283,-8.603743
Graham Ave & Conselyea St,Graham Ave & Conselyea St,Graham Ave,Conselyea St,Conselyea St,Graham Ave,40.715142999998086,-73.9445070000003,-4.280766396462695,-4.61648877438347,cat-4,North Brooklyn,3.4197955,0.10944897
Avenue D & E 8 St,Avenue D & E 8 St,Avenue D,E 8 St,E 8 St,N.A.,40.72368361000146,-73.97574813000212,0.44378478664202703,0.49176470588236043,cat-8,Lower Manhattan,3.3002553,-0.06865847
