,station crossing,cross-y,cross-x,St,Ave,start station latitude,start station longitude,departing age,arriving age,Cluster,Neighborhood,umap-x,umap-y
31 St & 23 Ave,31 St & 23 Ave,31 St,23 Ave,31 St,23 Ave,40.77478779999883,-73.91255510000009,-2.3753488372092306,-2.4021535580525324,cat-2,Queens,-8.113544,7.4829574
E 88 St & 1 Ave,E 88 St & 1 Ave,E 88 St,1 Ave,E 88 St,1 Ave,40.77830099999879,-73.94881339999866,-0.49882463563699275,-1.052210724365068,cat-11,Upper East Side,-8.554677,6.631505
Berkeley Pl & 7 Ave,Berkeley Pl & 7 Ave,Berkeley Pl,7 Ave,N.A.,7 Ave,40.67514683870864,-73.9752320945263,1.1431261770244419,1.759409242496531,cat-5,South Brooklyn,-8.3961,7.473661
Columbia St & Rivington St,Columbia St & Rivington St,Columbia St,Rivington St,Columbia St,N.A.,40.71739972999891,-73.9801655500002,4.085808580858156,4.84376470588245,cat-8,Lower Manhattan,-8.576043,7.2820077
Duane St & Greenwich St,Duane St & Greenwich St,Duane St,Greenwich St,Duane St,N.A.,40.71748751999986,-74.01045540000155,0.4876893939394904,2.013127051101719,cat-8,Lower Manhattan,-8.6518955,7.7025733
Cathedral Pkwy & Broadway,Cathedral Pkwy & Broadway,Cathedral Pkwy,Broadway,N.A.,N.A.,40.80421300000002,-73.96699104000014,1.121269540502226,1.881311816762036,cat-9,Upper West Side,-9.486346,6.8560987
Avenue D & E 12 St,Avenue D & E 12 St,Avenue D,E 12 St,E 12 St,N.A.,40.72580614000089,-73.97422494000052,-0.37772511848334034,-1.1033806957373145,cat-8,Lower Manhattan,-8.913182,8.085025
5 Ave & E 93 St,5 Ave & E 93 St,5 Ave,E 93 St,E 93 St,5 Ave,40.78578510000071,-73.95748100000016,2.265180265654635,1.4529105537151281,cat-9,Upper West Side,-9.876414,7.793053
Hope St & Union Ave,Hope St & Union Ave,Hope St,Union Ave,Hope St,Union Ave,40.711673509999216,-73.95141311999822,-4.977218794494547,-4.969739952718783,cat-4,North Brooklyn,-5.5605135,-1.3378513
Atlantic Ave & Fort Greene Pl,Atlantic Ave & Fort Greene Pl,Atlantic Ave,Fort Greene Pl,N.A.,Atlantic Ave,40.683826040000525,-73.97632328000022,-1.5454113171658719,-1.4659879685329997,cat-7,Central Brooklyn,-10.032405,6.846842
46 Ave & 5 St,46 Ave & 5 St,46 Ave,5 St,5 St,46 Ave,40.747310000000816,-73.95451000000051,-1.0452596474510756,-1.482857142857256,cat-2,Queens,-9.445887,8.263751
W 74 St & Columbus Ave,W 74 St & Columbus Ave,W 74 St,Columbus Ave,W 74 St,Columbus Ave,40.77856690000041,-73.97754960999998,1.6679444178246285,2.3262226847034526,cat-9,Upper West Side,-10.804648,6.9976125
State St & Smith St,State St & Smith St,State St,Smith St,State St,N.A.,40.6892694200013,-73.98912866999815,0.8873441994246605,0.5518378887841209,cat-5,South Brooklyn,-10.756553,8.451215
St Nicholas Ave & Manhattan Ave,St Nicholas Ave & Manhattan Ave,St Nicholas Ave,Manhattan Ave,N.A.,St Nicholas Ave,40.809724999999254,-73.9531489999987,-1.422890397672063,-1.929010884997524,cat-10,Harlem,-11.006707,9.761521
Roebling St & N 4 St,Roebling St & N 4 St,Roebling St,N 4 St,Roebling St,N.A.,40.71468999999907,-73.95738999999831,-4.236185819070897,-4.867552929591284,cat-4,North Brooklyn,-10.492908,8.82251
31 St & Broadway,31 St & Broadway,31 St,Broadway,31 St,N.A.,40.76158400000136,-73.92592099999942,-2.6125370187562567,-2.9139303482586456,cat-2,Queens,-10.96237,7.7079005
Adelphi St & Myrtle Ave,Adelphi St & Myrtle Ave,Adelphi St,Myrtle Ave,Adelphi St,Myrtle Ave,40.69308256999792,-73.97178912999951,-1.104300543746831,-1.1518427518426506,cat-7,Central Brooklyn,-10.962505,8.556535
Eastern Pkwy & Franklin Ave,Eastern Pkwy & Franklin Ave,Eastern Pkwy,Franklin Ave,N.A.,Franklin Ave,40.67077669999992,-73.9576800999962,-4.559347181008889,-4.297619047619037,cat-5,South Brooklyn,-11.333981,7.0374312
Park Pl & Church St,Park Pl & Church St,Park Pl,Church St,Church St,N.A.,40.71334184275919,-74.00935515761375,-0.8811536548980712,-1.0370558375634573,cat-8,Lower Manhattan,-5.935853,-2.2272358
Lafayette Ave & St James Pl,Lafayette Ave & St James Pl,Lafayette Ave,St James Pl,N.A.,Lafayette Ave,40.68851534000123,-73.96476279999743,-0.6892369883780702,-0.3576297850027004,cat-7,Central Brooklyn,-11.390044,9.680389
Plaza St West & Flatbush Ave,Plaza St West & Flatbush Ave,Plaza St West,Flatbush Ave,Plaza St West,Flatbush Ave,40.67502070000043,-73.97111472999758,1.657229524772447,1.8605737158104603,cat-5,South Brooklyn,-11.118667,7.892164
E 110 St & Madison Ave,E 110 St & Madison Ave,E 110 St,Madison Ave,E 110 St,Madison Ave,40.79615350000079,-73.9478214499996,-0.802481902792124,-1.269191402251863,cat-10,Harlem,-10.497656,9.145135
Riverside Dr & W 104 St,Riverside Dr & W 104 St,Riverside Dr,W 104 St,W 104 St,N.A.,40.80134340000106,-73.97114574389904,3.7268014515293544,2.5774869109948213,cat-9,Upper West Side,-11.311145,8.8853655
Macon St & Nostrand Ave,Macon St & Nostrand Ave,Macon St,Nostrand Ave,Macon St,Nostrand Ave,40.68098338540012,-73.95004797590076,-2.2412896515861576,-2.812730142030432,cat-7,Central Brooklyn,-11.450603,7.9334955
W 87 St & Amsterdam Ave,W 87 St & Amsterdam Ave,W 87 St,Amsterdam Ave,W 87 St,Amsterdam Ave,40.788390000001165,-73.97470000000179,2.232570239334109,2.152542372881271,cat-9,Upper West Side,-11.75043,8.250344
Harrison St & Hudson St,Harrison St & Hudson St,Harrison St,Hudson St,Harrison St,N.A.,40.71870986999994,-74.00900089999843,-0.4874869655891416,-0.5087628865978786,cat-8,Lower Manhattan,-12.162058,10.487984
Schermerhorn St & Court St,Schermerhorn St & Court St,Schermerhorn St,Court St,Schermerhorn St,N.A.,40.691029256778485,-73.99183362722397,1.303664921465952,1.1227976508275788,cat-5,South Brooklyn,-11.764281,10.531498
E 81 St & 2 Ave,E 81 St & 2 Ave,E 81 St,2 Ave,E 81 St,2 Ave,40.77477944895626,-73.95427465438844,-1.529874213836365,-1.124739039665883,cat-11,Upper East Side,-11.836574,9.198497
Yankee Ferry Terminal,Yankee Ferry Terminal,Yankee Ferry Terminal,Yankee Ferry Terminal,N.A.,N.A.,40.686930999999205,-74.01696599999819,2.963817514420498,2.954711087975056,cat-1,Governors Island,-12.546254,8.74765
Devoe St & Lorimer St,Devoe St & Lorimer St,Devoe St,Lorimer St,Devoe St,N.A.,40.713352262230195,-73.9491033554077,-4.567383324593493,-4.831945889698318,cat-4,North Brooklyn,-6.055312,-2.040271
Carroll St & Smith St,Carroll St & Smith St,Carroll St,Smith St,Carroll St,N.A.,40.68061100000187,-73.99475825000097,0.6147368421052306,0.640731070496031,cat-5,South Brooklyn,-5.699978,-1.9433287
Clinton Ave & Myrtle Ave,Clinton Ave & Myrtle Ave,Clinton Ave,Myrtle Ave,N.A.,Clinton Ave,40.69326099999921,-73.96889600000259,-1.0563157894737287,-1.0582371458551734,cat-7,Central Brooklyn,-11.854626,10.166359
Broadway & Moylan Pl,Broadway & Moylan Pl,Broadway,Moylan Pl,N.A.,N.A.,40.8143255999993,-73.95902549999639,-1.5152792413066436,-0.8680020544427407,cat-9,Upper West Side,-12.43452,10.722054
Market St & Cherry St,Market St & Cherry St,Market St,Cherry St,Market St,N.A.,40.710762280000566,-73.9940039799996,-0.8038176033933269,-0.8433476394850459,cat-8,Lower Manhattan,-13.452896,8.992834
Franklin St & Dupont St,Franklin St & Dupont St,Franklin St,Dupont St,Franklin St,N.A.,40.735639999999265,-73.9586600000013,-3.2578249336870613,-2.9555084745761633,cat-4,North Brooklyn,-13.078245,9.463397
Scholes St & Manhattan Ave,Scholes St & Manhattan Ave,Scholes St,Manhattan Ave,Scholes St,Manhattan Ave,40.708703679999246,-73.94486249999744,-6.513011152416311,-5.903139968068217,cat-4,North Brooklyn,-12.705479,10.8120985
3 Ave & Schermerhorn St,3 Ave & Schermerhorn St,3 Ave,Schermerhorn St,Schermerhorn St,3 Ave,40.686832079998936,-73.97967719999805,-1.587141339001164,-0.9604415823366708,cat-5,South Brooklyn,-13.611145,9.748597
44 Dr & Jackson Ave,44 Dr & Jackson Ave,44 Dr,Jackson Ave,N.A.,Jackson Ave,40.747182339998645,-73.94326349999825,-2.311300639658839,-1.7155625657203473,cat-2,Queens,-6.349904,-1.6954559
E 89 St & 3 Ave,E 89 St & 3 Ave,E 89 St,3 Ave,E 89 St,3 Ave,40.780628400000886,-73.95216669999773,-1.5399786780383238,-0.8864370290634724,cat-10,Harlem,-13.176867,9.598673
West End Ave & W 94 St,West End Ave & W 94 St,West End Ave,W 94 St,W 94 St,West End Ave,40.794165400001134,-73.97412400000029,3.052856380138792,2.5208004212743162,cat-9,Upper West Side,-13.058791,11.753333
E 102 St & 1 Ave,E 102 St & 1 Ave,E 102 St,1 Ave,E 102 St,1 Ave,40.78699459999926,-73.94164802000138,-2.7118371719336665,-2.2717447246525353,cat-10,Harlem,-13.337924,11.184355
Leonard St & Nassau Ave,Leonard St & Nassau Ave,Leonard St,Nassau Ave,Leonard St,Nassau Ave,40.723956784995266,-73.94984364509583,-3.9138858988160337,-4.23535676251322,cat-4,North Brooklyn,-13.019684,10.539254
Bergen St & Vanderbilt Ave,Bergen St & Vanderbilt Ave,Bergen St,Vanderbilt Ave,Bergen St,Vanderbilt Ave,40.67943879999922,-73.96804380000339,-1.9294561120086655,-1.9647058823529733,cat-5,South Brooklyn,-13.4342,10.040718
DeKalb Ave & S Portland Ave,DeKalb Ave & S Portland Ave,DeKalb Ave,S Portland Ave,N.A.,DeKalb Ave,40.689810349999185,-73.97493121000157,-0.8101952277656892,-0.3543559593799728,cat-7,Central Brooklyn,-12.953989,11.724965
Stanton St & Mangin St,Stanton St & Mangin St,Stanton St,Mangin St,Stanton St,N.A.,40.71782142999926,-73.97628939000157,-0.8175895765473342,-2.0206073752710836,cat-8,Lower Manhattan,-12.633721,11.479977
5 Ave & 3 St,5 Ave & 3 St,5 Ave,3 St,3 St,5 Ave,40.67281550000069,-73.98352355000333,1.878870179250498,1.9706039551042522,cat-5,South Brooklyn,-13.535802,11.318238
Congress St & Clinton St,Congress St & Clinton St,Congress St,Clinton St,Congress St,N.A.,40.68815289999995,-73.99520919000213,1.6336254107338846,1.098431584640366,cat-5,South Brooklyn,-13.800787,11.09438
Pleasant Ave & E 116 St,Pleasant Ave & E 116 St,Pleasant Ave,E 116 St,E 116 St,Pleasant Ave,40.79498789999975,-73.93333489999738,-1.695938529088835,-1.5457018498368598,cat-10,Harlem,-13.380954,11.9650135
E 65 St & 2 Ave,E 65 St & 2 Ave,E 65 St,2 Ave,E 65 St,2 Ave,40.76471851944284,-73.96222069859505,-0.15126512651272606,0.7564679415072533,cat-11,Upper East Side,-13.657467,11.96609
Driggs Ave & N Henry St,Driggs Ave & N Henry St,Driggs Ave,N Henry St,N Henry St,Driggs Ave,40.72325000000041,-73.94307999999812,-2.844837106571049,-3.636313768513446,cat-4,North Brooklyn,-13.922669,11.197201
W 100 St & Manhattan Ave,W 100 St & Manhattan Ave,W 100 St,Manhattan Ave,W 100 St,Manhattan Ave,40.79499999999866,-73.9645000000012,0.21700717835460637,0.4130799329234378,cat-9,Upper West Side,-13.898694,11.640245
Lenox Ave & W 117 St,Lenox Ave & W 117 St,Lenox Ave,W 117 St,W 117 St,Lenox Ave,40.80255659999968,-73.9490782000031,-1.2259668508286268,-1.2614173228346317,cat-10,Harlem,-14.026107,10.251475
Graham Ave & Grand St,Graham Ave & Grand St,Graham Ave,Grand St,Grand St,Graham Ave,40.71186299999919,-73.9440239999976,-3.762880886426501,-3.9413716814158306,cat-4,North Brooklyn,-13.543118,12.085063
Lenox Ave & W 126 St,Lenox Ave & W 126 St,Lenox Ave,W 126 St,W 126 St,Lenox Ave,40.808442000000205,-73.94520869999828,-0.7603993344425817,-1.740384615384528,cat-10,Harlem,-14.123766,11.695184
Douglass St & 3 Ave,Douglass St & 3 Ave,Douglass St,3 Ave,Douglass St,3 Ave,40.680213300000695,-73.98432694999886,-2.55937846836855,-2.875275938189816,cat-5,South Brooklyn,-14.473508,10.364797
Riverside Dr & W 91 St,Riverside Dr & W 91 St,Riverside Dr,W 91 St,W 91 St,N.A.,40.793134809865805,-73.97700369358063,2.5189309576837786,0.7718006795016663,cat-9,Upper West Side,-15.04149,11.212492
W 88 St & West End Ave,W 88 St & West End Ave,W 88 St,West End Ave,W 88 St,West End Ave,40.7902541733052,-73.97718340158461,4.244704570791555,3.8760233918128506,cat-9,Upper West Side,-14.198071,11.715125
3 St & Prospect Park West,3 St & Prospect Park West,3 St,Prospect Park West,3 St,N.A.,40.66813199999992,-73.97363830999834,0.7438616071428896,0.7872582480090387,cat-5,South Brooklyn,-6.854925,-1.692989
Lenox Ave & W 130 St,Lenox Ave & W 130 St,Lenox Ave,W 130 St,W 130 St,Lenox Ave,40.81079220000007,-73.94306809999742,-1.5842193620592298,-1.7090005521811236,cat-10,Harlem,-14.537223,11.049621
Driggs Ave & Lorimer St,Driggs Ave & Lorimer St,Driggs Ave,Lorimer St,Lorimer St,Driggs Ave,40.72179134000067,-73.95041540000165,-3.5111982082867144,-3.4047751249306657,cat-4,North Brooklyn,-14.645232,10.536321
Frederick Douglass Blvd & W 115 St,Frederick Douglass Blvd & W 115 St,Frederick Douglass Blvd,W 115 St,W 115 St,N.A.,40.80386539999878,-73.9559308000018,-2.1728395061727497,-2.0346297282899286,cat-10,Harlem,-14.6651745,11.567883
Amsterdam Ave & W 66 St,Amsterdam Ave & W 66 St,Amsterdam Ave,W 66 St,W 66 St,Amsterdam Ave,40.77466709999969,-73.98470566999754,1.4388042865200532,2.445142857142855,cat-9,Upper West Side,-16.128584,10.4861555
Willoughby Ave & Hall St,Willoughby Ave & Hall St,Willoughby Ave,Hall St,Hall St,Willoughby Ave,40.69196034999924,-73.96536851000222,-0.8853754940712406,-0.6632882882881859,cat-7,Central Brooklyn,-15.226415,10.15129
Front St & Gold St,Front St & Gold St,Front St,Gold St,Front St,N.A.,40.70223999999905,-73.98257799999836,-0.874503123225395,-0.6079676674364691,cat-7,Central Brooklyn,-15.896355,10.829736
Stagg St & Union Ave,Stagg St & Union Ave,Stagg St,Union Ave,Stagg St,Union Ave,40.70877084000018,-73.95095259000301,-5.189066059225524,-4.771118721461107,cat-4,North Brooklyn,-13.097414,11.128159
E 55 St & Lexington Ave,E 55 St & Lexington Ave,E 55 St,Lexington Ave,E 55 St,Lexington Ave,40.75968085000019,-73.97031366000009,0.8479999999999563,0.7879935100054354,cat-12,Midtown,10.3837595,-7.5362415
Flushing Ave & Vanderbilt Ave,Flushing Ave & Vanderbilt Ave,Flushing Ave,Vanderbilt Ave,N.A.,Flushing Ave,40.69795031569617,-73.97077560424805,-1.8954285714285106,-1.384787472035896,cat-7,Central Brooklyn,9.970583,-8.275773
E 52 St & 2 Ave,E 52 St & 2 Ave,E 52 St,2 Ave,E 52 St,2 Ave,40.75601399999903,-73.96741599999956,-1.0537757437070923,-0.28045325779044106,cat-11,Upper East Side,3.3157465,0.22982979
Richardson St & N Henry St,Richardson St & N Henry St,Richardson St,N Henry St,Richardson St,N.A.,40.71907891179523,-73.94223690032959,-5.770463651974751,-4.7641671436749675,cat-4,North Brooklyn,6.660662,-5.0815187
Washington Ave & Park Ave,Washington Ave & Park Ave,Washington Ave,Park Ave,N.A.,Washington Ave,40.69610226000067,-73.96751036999927,-2.393063583815092,-2.100115074798623,cat-7,Central Brooklyn,-9.46346,8.629368
W 110 St & Amsterdam Ave,W 110 St & Amsterdam Ave,W 110 St,Amsterdam Ave,W 110 St,Amsterdam Ave,40.802691999998856,-73.96295000000083,-1.0441347270616461,-1.514464425332335,cat-9,Upper West Side,4.1820407,-5.001592
Nassau Ave & Newell St,Nassau Ave & Newell St,Nassau Ave,Newell St,Newell St,Nassau Ave,40.72481256440152,-73.94752621650694,-3.648664343786322,-3.2821810005621046,cat-4,North Brooklyn,-3.7020822,-1.7631451
DeKalb Ave & Vanderbilt Ave,DeKalb Ave & Vanderbilt Ave,DeKalb Ave,Vanderbilt Ave,N.A.,DeKalb Ave,40.68940747000098,-73.96885458000155,-0.8244186046511004,-0.3015966883501733,cat-7,Central Brooklyn,-2.223143,-1.5704895
E 77 St & 3 Ave,E 77 St & 3 Ave,E 77 St,3 Ave,E 77 St,3 Ave,40.77314235999978,-73.95856158000167,-0.052325581395280096,-0.3664302600473093,cat-11,Upper East Side,10.81136,-8.689325
E 81 St & 3 Ave,E 81 St & 3 Ave,E 81 St,3 Ave,E 81 St,3 Ave,40.77573033999951,-73.95675260000192,-0.8675612602100955,-0.5414719626169244,cat-11,Upper East Side,6.9994707,-4.5639925
34 Ave & 38 St,34 Ave & 38 St,34 Ave,38 St,38 St,34 Ave,40.75691299999926,-73.9216310000017,-2.5073142188414295,-3.6741508347724903,cat-2,Queens,10.062507,-6.9253926
Fulton St & Waverly Ave,Fulton St & Waverly Ave,Fulton St,Waverly Ave,Fulton St,Waverly Ave,40.68323865460247,-73.96599590778352,-2.327667057444387,-2.5639952153110244,cat-7,Central Brooklyn,2.0598614,-0.057642143
E 84 St & Park Ave,E 84 St & Park Ave,E 84 St,Park Ave,E 84 St,Park Ave,40.77862687999871,-73.95772073000185,1.2640845070422984,2.367901234567853,cat-11,Upper East Side,-4.3493285,1.1056609
Emerson Pl & Myrtle Ave,Emerson Pl & Myrtle Ave,Emerson Pl,Myrtle Ave,N.A.,Myrtle Ave,40.693631369999245,-73.96223557999781,-2.1303581914269216,-1.616209773539822,cat-7,Central Brooklyn,-16.75359,7.6689444
Lafayette Ave & Classon Ave,Lafayette Ave & Classon Ave,Lafayette Ave,Classon Ave,N.A.,Lafayette Ave,40.68900443000087,-73.96023854000292,-3.431187241583075,-3.8701298701298583,cat-7,Central Brooklyn,-17.475737,7.3117504
E 89 St & York Ave,E 89 St & York Ave,E 89 St,York Ave,E 89 St,York Ave,40.77794529999836,-73.94604100000197,1.8378698224851178,0.7971864009377896,cat-11,Upper East Side,-17.735912,7.8994265
E 97 St & Madison Ave,E 97 St & Madison Ave,E 97 St,Madison Ave,E 97 St,Madison Ave,40.787800999998986,-73.95355900000118,-1.9176052163604709,-1.0282519128900276,cat-10,Harlem,-18.66862,7.1725993
W 92 St & Broadway,W 92 St & Broadway,W 92 St,Broadway,W 92 St,N.A.,40.792099999999444,-73.97389999999812,2.8551928783383573,2.718861209964416,cat-9,Upper West Side,3.6404572,-5.4957957
E 75 St & 3 Ave,E 75 St & 3 Ave,E 75 St,3 Ave,E 75 St,3 Ave,40.77112926999855,-73.95772296999726,0.6702380952381191,1.2462995855535155,cat-11,Upper East Side,-1.8773024,0.80656165
1 Ave & E 94 St,1 Ave & E 94 St,1 Ave,E 94 St,E 94 St,1 Ave,40.7817212000005,-73.94594000000195,1.1891408114559,-0.2309482257126092,cat-10,Harlem,3.4942427,-6.5988574
Bergen St & Flatbush Ave,Bergen St & Flatbush Ave,Bergen St,Flatbush Ave,Bergen St,Flatbush Ave,40.68094472347753,-73.97567331790923,-1.9723889555823462,-1.5574572127138708,cat-5,South Brooklyn,4.168123,-1.0641363
Union St & 4 Ave,Union St & 4 Ave,Union St,4 Ave,Union St,4 Ave,40.67727439999914,-73.98282001999924,-1.236177884615472,-1.5014854426619877,cat-5,South Brooklyn,3.9569767,-7.828715
1 Ave & E 110 St,1 Ave & E 110 St,1 Ave,E 110 St,E 110 St,1 Ave,40.79232719999897,-73.938299999998,-2.0187085093541555,-2.2350503256363936,cat-10,Harlem,-2.5925596,1.2974129
Picnic Point,Picnic Point,Picnic Point,Picnic Point,N.A.,N.A.,40.68512559515462,-74.02535319328308,3.778250303766754,3.1906249999999545,cat-1,Governors Island,6.5393577,-6.6859536
Broad St & Bridge St,Broad St & Bridge St,Broad St,Bridge St,Broad St,N.A.,40.70365181999846,-74.01167797000083,-0.09687308399747963,0.09323882224634872,cat-8,Lower Manhattan,7.6484113,-5.543478
Bialystoker Pl & Delancey St,Bialystoker Pl & Delancey St,Bialystoker Pl,Delancey St,Delancey St,N.A.,40.71622644000131,-73.98261206000144,2.237361282367374,2.6828193832598117,cat-8,Lower Manhattan,8.249817,-5.9928493
St James Pl & Pearl St,St James Pl & Pearl St,St James Pl,Pearl St,Pearl St,N.A.,40.71117416000058,-74.0001654499976,0.5247524752476238,0.9772307692308004,cat-8,Lower Manhattan,5.9417562,-5.909326
Cumberland St & Lafayette Ave,Cumberland St & Lafayette Ave,Cumberland St,Lafayette Ave,Cumberland St,Lafayette Ave,40.687534060001326,-73.97265183000106,-0.5186567164178086,-1.2304737516005844,cat-7,Central Brooklyn,9.316307,-3.8944745
W 106 St & Amsterdam Ave,W 106 St & Amsterdam Ave,W 106 St,Amsterdam Ave,W 106 St,Amsterdam Ave,40.80083629999889,-73.96644924719698,0.728410513141398,1.176431863067819,cat-9,Upper West Side,7.0822105,-6.507626
Franklin Ave & Empire Blvd,Franklin Ave & Empire Blvd,Franklin Ave,Empire Blvd,N.A.,Franklin Ave,40.66313999999868,-73.9605695000024,-1.736842105263122,-2.623464373464458,cat-5,South Brooklyn,-1.5122267,0.9813727
Johnson St & Gold St,Johnson St & Gold St,Johnson St,Gold St,Johnson St,N.A.,40.69474880999916,-73.98362463999752,-1.4732199117831897,-1.1250789639923369,cat-7,Central Brooklyn,-6.3856177,1.8939413
Henry St & Degraw St,Henry St & Degraw St,Henry St,Degraw St,Henry St,N.A.,40.684751399998305,-73.9991725400022,2.018927444795054,1.7788944723617988,cat-5,South Brooklyn,9.324969,-9.313124
Henry St & Middagh St,Henry St & Middagh St,Henry St,Middagh St,Henry St,N.A.,40.70029999999861,-73.99158099999808,1.9790874524715036,1.7121588089330544,cat-5,South Brooklyn,6.0582037,-1.159596
St. Nicholas Ave & W 126 St,St. Nicholas Ave & W 126 St,St. Nicholas Ave,W 126 St,W 126 St,St. Nicholas Ave,40.81143229999899,-73.95187760000098,-2.4314850223072426,-2.5101538461537984,cat-10,Harlem,4.133456,-0.10806834
Carroll St & 5 Ave,Carroll St & 5 Ave,Carroll St,5 Ave,Carroll St,5 Ave,40.675162200000706,-73.98148319999831,0.49579831932783236,0.39260675589548555,cat-5,South Brooklyn,5.1344543,-0.9087274
S 4 St & Rodney St,S 4 St & Rodney St,S 4 St,Rodney St,S 4 St,N.A.,40.709340000000864,-73.95608000000252,-5.269430051813515,-4.780376868096255,cat-4,North Brooklyn,4.6648536,-0.26365575
Carroll St & 6 Ave,Carroll St & 6 Ave,Carroll St,6 Ave,Carroll St,6 Ave,40.67408859999884,-73.97872820000237,2.7508111615834423,2.318181818181756,cat-5,South Brooklyn,4.2722206,-0.22117427
Cadman Plaza E & Johnson St,Cadman Plaza E & Johnson St,Cadman Plaza E,Johnson St,Johnson St,N.A.,40.69531727766987,-73.99015724658966,2.4302477183832707,2.057717250324231,cat-5,South Brooklyn,-13.771882,8.207488
Myrtle Ave & Lewis Ave,Myrtle Ave & Lewis Ave,Myrtle Ave,Lewis Ave,N.A.,Myrtle Ave,40.69681963000036,-73.93756926000054,-5.015717092337809,-4.705102717031195,cat-7,Central Brooklyn,10.180174,-9.275545
Montrose Ave & Bushwick Ave,Montrose Ave & Bushwick Ave,Montrose Ave,Bushwick Ave,N.A.,Montrose Ave,40.7076778799984,-73.94016170999788,-3.9519420671495027,-4.5043017868961215,cat-4,North Brooklyn,8.656939,-7.5491056
N 11 St & Kent Ave,N 11 St & Kent Ave,N 11 St,Kent Ave,N 11 St,Kent Ave,40.72248188638295,-73.95921930670737,-1.8516809492418815,-2.0220779220778695,cat-4,North Brooklyn,-3.3831942,-1.0159838
E 58 St & 1 Ave (NE Corner),E 58 St & 1 Ave (NE Corner),E 58 St,1 Ave (NE Corner),E 58 St,1 Ave (NE Corner),40.75892386377567,-73.96226227283478,1.9214380825565058,2.8667131891138524,cat-11,Upper East Side,3.7540438,-1.2362691
E 78 St & 2 Ave,E 78 St & 2 Ave,E 78 St,2 Ave,E 78 St,2 Ave,40.77279660000057,-73.95577801000034,-1.5353333333332557,-1.7343957503319416,cat-11,Upper East Side,-6.2298117,0.09969399
3 St & 7 Ave,3 St & 7 Ave,3 St,7 Ave,3 St,7 Ave,40.670383700000784,-73.97839675999825,1.8845897264843643,0.7910247823174359,cat-5,South Brooklyn,8.13513,-1.3772249
E 72 St & Park Ave,E 72 St & Park Ave,E 72 St,Park Ave,E 72 St,Park Ave,40.77118287540546,-73.96409422159195,1.6997998665776777,1.4598490048044823,cat-11,Upper East Side,9.240981,-4.602042
Bedford Ave & Bergen St,Bedford Ave & Bergen St,Bedford Ave,Bergen St,Bergen St,Bedford Ave,40.67636800000034,-73.95291799999885,-4.509358288770045,-4.658278145695476,cat-5,South Brooklyn,8.80221,-3.7680645
E 60 St & York Ave,E 60 St & York Ave,E 60 St,York Ave,E 60 St,York Ave,40.759106999999524,-73.95922299999884,0.8668459986549806,0.6254343293953752,cat-11,Upper East Side,2.6162958,0.4812608
Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,Brooklyn Bridge Park - Pier 2,N.A.,N.A.,40.69845799999932,-73.99717800000151,1.9328767123288344,0.9258517034068063,cat-5,South Brooklyn,-7.0431557,2.5549784
Baltic St & 5 Ave,Baltic St & 5 Ave,Baltic St,5 Ave,Baltic St,5 Ave,40.6795765999996,-73.97854970999828,-2.3603294440631544,-1.8742268041237367,cat-5,South Brooklyn,-7.1465545,1.6595787
S Portland Ave & Hanson Pl,S Portland Ave & Hanson Pl,S Portland Ave,Hanson Pl,N.A.,S Portland Ave,40.685395669999735,-73.97431458000125,-1.3530626290432792,-1.178148921364027,cat-7,Central Brooklyn,-5.5355053,2.6368287
Smith St & 9 St,Smith St & 9 St,Smith St,9 St,Smith St,N.A.,40.67469569999961,-73.99785768000164,-0.4444444444443434,-0.9685314685314097,cat-5,South Brooklyn,9.562628,-4.8486896
E 76 St & Park Ave,E 76 St & Park Ave,E 76 St,Park Ave,E 76 St,Park Ave,40.77376299999906,-73.9622208799993,2.3932038834950617,1.296475466482434,cat-11,Upper East Side,8.647587,-5.065983
Park Pl & Vanderbilt Ave,Park Pl & Vanderbilt Ave,Park Pl,Vanderbilt Ave,N.A.,Vanderbilt Ave,40.67670000000159,-73.96902400000181,-0.7482614742698388,-0.9715099715099313,cat-5,South Brooklyn,6.2918005,-6.4620695
3 St & 3 Ave,3 St & 3 Ave,3 St,3 Ave,3 St,3 Ave,40.67507050000089,-73.98775226,0.7431578947368962,0.37893296853621905,cat-5,South Brooklyn,-4.179917,1.0523767
Bayard St & Leonard St,Bayard St & Leonard St,Bayard St,Leonard St,Bayard St,N.A.,40.719155716959214,-73.94885390996933,-3.4961130742049136,-3.5969945355191157,cat-4,North Brooklyn,7.435498,-1.2665207
E 103 St & Lexington Ave,E 103 St & Lexington Ave,E 103 St,Lexington Ave,E 103 St,Lexington Ave,40.790305100001056,-73.94755757000159,-3.272277227722725,-2.9255972696246317,cat-10,Harlem,3.8461225,-8.68576
Carlton Ave & Dean St,Carlton Ave & Dean St,Carlton Ave,Dean St,Dean St,Carlton Ave,40.68097410000132,-73.97100970000177,-2.58527954706301,-2.2084507042252426,cat-5,South Brooklyn,4.353713,-11.229987
Fulton St & Rockwell Pl,Fulton St & Rockwell Pl,Fulton St,Rockwell Pl,Fulton St,N.A.,40.68841000000081,-73.97945800000133,-1.4244144783533557,-1.0411240575735974,cat-7,Central Brooklyn,2.9866962,-9.935878
